n,concentration,raw_current,wash_current,barium_current,response,construct,measure,date,cumulative_exposure,dye,raw_intensity,corrected_intensity,method,unique_experiment_id
3,1e-4,NA,NA,NA,-0.5548366764898469,W311*-GFP+SUR,fluorescence,2018-05-24,7000,560.892883758269,-1.4768950732140942,-2.3418198364794494,pcf,3
3,0,NA,NA,NA,0.9705866763258274,W311*-GFP+SUR,fluorescence,2018-05-24,8000,471.7451145510986,5.577749912358744,13.936963009520273,pcf,3
3,0,NA,NA,NA,0.9883906324113396,W311*-GFP+SUR,fluorescence,2018-05-24,8000,507.9542876453923,13.982706361405489,19.902063511867613,pcf,3
3,0,NA,NA,NA,0.854290197993783,W311*-GFP+SUR,fluorescence,2018-05-24,8000,560.892883758269,2.083766146212558,3.605734473842784,pcf,3
3,0.001,NA,NA,NA,0.07550054258042627,W311*-GFP+SUR,fluorescence,2018-05-24,9000,471.7451145510986,0.4091335652455238,1.0841363216785702,pcf,3
3,0.001,NA,NA,NA,0.01622450542893117,W311*-GFP+SUR,fluorescence,2018-05-24,9000,507.9542876453923,0.22209098508750458,0.32669384644759214,pcf,3
3,0.001,NA,NA,NA,-6.906247035843492,W311*-GFP+SUR,fluorescence,2018-05-24,9000,560.892883758269,-15.307739395410287,-29.149454225853876,pcf,3
3,0,NA,NA,NA,1.030760780400243,W311*-GFP+SUR,fluorescence,2018-05-24,10000,471.7451145510986,5.3180513982148225,14.80102212250012,pcf,3
3,0,NA,NA,NA,1.0034490971738,W311*-GFP+SUR,fluorescence,2018-05-24,10000,507.9542876453923,13.320882884340522,20.205278164319903,pcf,3
3,0,NA,NA,NA,0.9139106284327994,W311*-GFP+SUR,fluorescence,2018-05-24,10000,560.892883758269,1.8221907612652748,3.8573766463553048,pcf,3
4,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,471.7451145510986,11.721284982262512,11.721284982262512,pcf,4
4,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,507.9542876453923,22.22876100381027,22.22876100381027,pcf,4
4,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,560.892883758269,4.581058117636754,4.581058117636754,pcf,4
4,1e-7,NA,NA,NA,0.9606459335667431,W311*-GFP+SUR,fluorescence,2018-05-24,1000,471.7451145510986,9.673476985065474,11.260004754387417,pcf,4
4,1e-7,NA,NA,NA,0.9789845096598271,W311*-GFP+SUR,fluorescence,2018-05-24,1000,507.9542876453923,20.522874786493237,21.761612691660684,pcf,4
4,1e-7,NA,NA,NA,0.978798417151034,W311*-GFP+SUR,fluorescence,2018-05-24,1000,560.892883758269,4.250256208119841,4.48393243441975,pcf,4
4,0,NA,NA,NA,0.926769110528788,W311*-GFP+SUR,fluorescence,2018-05-24,2000,471.7451145510986,8.052989094731315,10.862924857265869,pcf,4
4,0,NA,NA,NA,0.9736689586619991,W311*-GFP+SUR,fluorescence,2018-05-24,2000,507.9542876453923,19.310962203827803,21.6434545789264,pcf,4
4,0,NA,NA,NA,0.9124854880260094,W311*-GFP+SUR,fluorescence,2018-05-24,2000,560.892883758269,3.7871720755047553,4.180149052147286,pcf,4
4,1e-6,NA,NA,NA,0.9036173372840514,W311*-GFP+SUR,fluorescence,2018-05-24,3000,471.7451145510986,6.809162177550039,10.59155632521959,pcf,4
4,1e-6,NA,NA,NA,0.9300296494506666,W311*-GFP+SUR,fluorescence,2018-05-24,3000,507.9542876453923,17.50652126308414,20.673406804096313,pcf,4
4,1e-6,NA,NA,NA,0.927096527164765,W311*-GFP+SUR,fluorescence,2018-05-24,3000,560.892883758269,3.7047650330661934,4.24708307160099,pcf,4
4,0,NA,NA,NA,1.0242554582923624,W311*-GFP+SUR,fluorescence,2018-05-24,4000,471.7451145510986,6.7303551876669685,12.005590121282674,pcf,4
4,0,NA,NA,NA,0.9843863559359294,W311*-GFP+SUR,fluorescence,2018-05-24,4000,507.9542876453923,17.642000613147633,21.881689041511482,pcf,4
4,0,NA,NA,NA,1.0866072121315962,W311*-GFP+SUR,fluorescence,2018-05-24,4000,560.892883758269,4.20739718828014,4.977810789818092,pcf,4
4,1e-5,NA,NA,NA,0.81036184666719,W311*-GFP+SUR,fluorescence,2018-05-24,5000,471.7451145510986,4.6715762273901875,9.49848214353865,pcf,4
4,1e-5,NA,NA,NA,0.8005294201736626,W311*-GFP+SUR,fluorescence,2018-05-24,5000,507.9542876453923,13.70211097972233,17.794777157559157,pcf,4
4,1e-5,NA,NA,NA,0.7372889185292711,W311*-GFP+SUR,fluorescence,2018-05-24,5000,560.892883758269,2.7812946174396793,3.377563385272141,pcf,4
4,0,NA,NA,NA,1.0081893927844474,W311*-GFP+SUR,fluorescence,2018-05-24,6000,471.7451145510986,5.132645732054494,11.817275188920705,pcf,4
4,0,NA,NA,NA,1.0275293739898406,W311*-GFP+SUR,fluorescence,2018-05-24,6000,507.9542876453923,16.848189024657305,22.840704878814947,pcf,4
4,0,NA,NA,NA,0.9787030006684317,W311*-GFP+SUR,fluorescence,2018-05-24,6000,560.892883758269,3.6135242850260663,4.483495325967569,pcf,4
4,1e-4,NA,NA,NA,0.45971338243252236,W311*-GFP+SUR,fluorescence,2018-05-24,7000,471.7451145510986,2.081447904348977,5.388431565651427,pcf,4
4,1e-4,NA,NA,NA,0.39941033348158284,W311*-GFP+SUR,fluorescence,2018-05-24,7000,507.9542876453923,6.29234879341304,8.878396845414263,pcf,4
4,1e-4,NA,NA,NA,-2.062558918668467,W311*-GFP+SUR,fluorescence,2018-05-24,7000,560.892883758269,-7.482354486926806,-9.448702277470268,pcf,4
4,0,NA,NA,NA,1.2097425584241228,W311*-GFP+SUR,fluorescence,2018-05-24,8000,471.7451145510986,4.90781763237419,14.1797372824605,pcf,4
4,0,NA,NA,NA,1.0397353416792758,W311*-GFP+SUR,fluorescence,2018-05-24,8000,507.9542876453923,15.783195375114962,23.112028417403636,pcf,4
4,0,NA,NA,NA,1.0391214863899678,W311*-GFP+SUR,fluorescence,2018-05-24,8000,560.892883758269,3.7157841720317077,4.7602759204375324,pcf,4
4,0.001,NA,NA,NA,0.001121390551098389,W311*-GFP+SUR,fluorescence,2018-05-24,9000,471.7451145510986,0.004108089169183889,0.013144138225841167,pcf,4
4,0.001,NA,NA,NA,-0.07981538041305414,W311*-GFP+SUR,fluorescence,2018-05-24,9000,507.9542876453923,-1.170669644812339,-1.7741970156299807,pcf,4
4,0.001,NA,NA,NA,-11.958065763537485,W311*-GFP+SUR,fluorescence,2018-05-24,9000,560.892883758269,-42.262611133009294,-54.780594237287545,pcf,4
4,0,NA,NA,NA,0.7965478744361226,W311*-GFP+SUR,fluorescence,2018-05-24,10000,471.7451145510986,2.6560548329172624,9.33656463828125,pcf,4
4,0,NA,NA,NA,0.9611416698962633,W311*-GFP+SUR,fluorescence,2018-05-24,10000,507.9542876453923,13.657027109884813,21.36498847092714,pcf,4
