n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
4,1E-05,231.303863525391,2933.63488769531,80.4166412353516,0.052883168848807,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,47
4,1E-06,1535.25170898438,2945.54333496094,80.4166412353516,0.507773380819425,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,47
1,0.001,84.017333984375,1794.09973144531,20.3533382415771,0.035892389118722,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,48
1,0.0001,198.095169067383,1360.97473144531,20.3533382415771,0.132581675726544,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,48
1,1E-05,1317.279296875,1341.79736328125,20.3533382415771,0.981446004566471,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,48
1,1E-06,1341.70532226563,1353.234375,20.3533382415771,0.991350276268906,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,48
2,0.001,48.1663932800293,5669.03002929688,19.3575019836426,0.005099214362799,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,49
2,0.0001,90.1124572753906,5710.408203125,19.3575019836426,0.012432669994938,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,49
2,1E-05,3327.69897460937,5626.41625976563,19.3575019836426,0.590031532670158,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,49
2,1E-06,4897.63037109375,5223.45678710937,19.3575019836426,0.937390430473358,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,49
2,1E-07,4880.11572265625,4884.30444335938,19.3575019836426,0.999138999714981,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,49
3,0.001,109.58366394043,8122.50048828125,22.2801475524902,0.010777918712775,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,50
3,0.0001,285.299072265625,8007.64965820313,22.2801475524902,0.032937602243995,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,50
3,1E-05,4786.09375,7205.88989257813,22.2801475524902,0.663150389780884,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,50
3,1E-06,6382.87353515625,6428.74194335938,22.2801475524902,0.992840290059461,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,50
3,1E-07,5898.8095703125,5904.72778320313,22.2801475524902,0.99899392000453,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,50
4,0.001,106.85733795166,4111.61450195313,40.5680236816406,0.016283114089664,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,51
4,0.0001,1580.98132324219,4105.51574707031,40.5680236816406,0.37895033451412,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,51
4,1E-05,4080.2138671875,4080.10437011719,40.5680236816406,1.00002710634611,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,51
4,1E-06,4066.49560546875,4077.55407714844,40.5680236816406,0.997260710952868,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,51
5,0.001,100.626182556152,4506.11303710938,25.4762363433838,0.016772157520092,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,52
5,0.0001,1387.42065429688,4498.92944335938,25.4762363433838,0.304450355223895,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,52
5,1E-05,4490.84619140625,4544.2138671875,25.4762363433838,0.988189693639885,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,52
5,1E-06,4553.892578125,4554.46020507813,25.4762363433838,0.999874667926174,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,52
6,0.001,174.318634033203,3256.38208007812,104.767456054688,0.022068427227224,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,53
6,0.0001,2353.28979492188,3608.63806152344,104.767456054688,0.641725278141765,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,53
6,1E-05,2870.85717773438,2969.81359863281,104.767456054688,0.965460793308763,E179K-GFP+SUR,TNP-ATP,patch_clamp,current,NA,53
